row_id,season,episode,speaker,task,label,suggested_label,self_confidence,suggested_confidence,confidence_margin,text,feature_text,needs_review
3590,5,2,Foreman,intent,uyarı,tanı,0.01735155928080911,0.5869224419635911,0.569570882682782,Beş yüz farklı şey halüsinasyona neden olabilir. Bu tek başına nörolojik olduğu anlamına gelmez.,"[SPEAKER=Foreman] [SYMPTOM=Halüsinasyon] [ORGAN=beyin] [PREV=Sorun gözünde değil,"" kafasında. Gözün iyi olduğunu düşünüyor olabilir ama düşünme işi beyinde olur || Biraz önce öldüğünü sanıyordun. Kör olmak aslında iyi haber. Ama o da yanlış. Bu bir halüsinasyondu; halüsinasyon beyin işidir,"" değil mi?""] [TEXT=Beş yüz farklı şey halüsinasyona neden olabilir. Bu tek başına nörolojik olduğu anlamına gelmez.]",True
2272,3,7,Wilson,intent,uyarı,emir,0.019565501973882543,0.8084021900934267,0.7888366881195442,Ragged Red Fiber tedavi edilebilir ama iyileştirilemez. Garanti yok.,[SPEAKER=Wilson] [SYMPTOM=none] [TEST=none] [DRUG=none] [PROCEDURE=none] [ORGAN=heart] [PREV=Ragged Red Fiber karaciğerini etkilemezdi. Çocuk bir ayyaş. || Kalbimi Kyle'a vermek istiyorum. Kalbim gayet iyi.] [TEXT=Ragged Red Fiber tedavi edilebilir ama iyileştirilemez. Garanti yok.],True
1853,2,23,Chase,intent,uyarı,tanı,0.021657301809089438,0.6744964149815665,0.6528391131724771,Lüppe lüppe akciğerleri İsviçre peyniri gibi olmuş.,"[SPEAKER=Chase] [SYMPTOM=Akciğer Hasarı] [TEST=BT Tarama] [DRUG=Amfoterisin B] [PROCEDURE=Vantilatör] [ORGAN=akciğer] [PREV=Akortsuz dediği nota aslında akortlu. İşitsel algısı bozuk. || Leona 13 yaşındakinden daha koyu. Melanininde demir birikintileri var,"" tıpkı büyükbabasında olduğu gibi. Demir miktarını hesaplamak için SQUID incelemesi yapın ve onu Deferoksamin ile tedavi edin] [TEXT=Lüppe lüppe akciğerleri İsviçre peyniri gibi olmuş.]",True
1830,2,22,EMT,intent,uyarı,tanı,0.02178779245462184,0.3779640945065994,0.3561763020519776,"32 yaşında kadın,"" banyoda katatonik nöbet geçirdi.","[SPEAKER=EMT] [SYMPTOM=Katatonik Nöbet] [ORGAN=beyin] [PREV=Sadece bir mide mikrobuyla savaşıyorum. İyi olacağım.] [TEXT=32 yaşında kadın,"" banyoda katatonik nöbet geçirdi.]",True
2086,3,3,House,intent,soru,emir,0.022680411712517085,0.21701399876765803,0.19433358705514095,Lupus için intravenöz immünoglobulin başlayın ve kolonoskopi yapın.,[SPEAKER=House] [TEST=kolonoskopi] [DRUG=intravenöz immünoglobulin] [ORGAN=kolon] [PREV=Akciğer skarı ve bozuk kemik iliği otoimmün hastalığı düşündürüyor; pulmoner fibroz olabilir. || Lupus da olabilir.] [TEXT=Lupus için intravenöz immünoglobulin başlayın ve kolonoskopi yapın.],True
3623,5,2,House,intent,diğer,şaka,0.023314062163855297,0.577195158544891,0.5538810963810357,"Semptomları, sorunları ve verileri anlatacağım","[SPEAKER=House] [SYMPTOM=Arkadaş desteği isteği] [ORGAN=genel] [PREV=Nakledilen kornea iyiydi,"" gözün de iyiydi ama beynin görsel bilgiyi doğru işlemiyordu. Görebiliyordun ama gerçekten görmüyordun. || Dünya çirkin, insanlar öldürüyor, aç kalıyor,"" herkes pislik. Ama dünya sandığın kadar çirkin değil.] [TEXT=Semptomları, sorunları ve verileri anlatacağım]",True
3626,5,3,Thirteen,intent,uyarı,tanı,0.023344606110158306,0.4560658831722939,0.4327212770621356,"Kontrast madde veriyoruz, küçük de olsa anafilaktik reaksiyon riski var,"" bu da solunumun durmasına yol açabilir.","[SPEAKER=Thirteen] [SYMPTOM=Alerjik reaksiyon] [ORGAN=genel] [PREV=Semptomların ani başlaması görsel agnoziyi düşündürüyor,"" bu genellikle inme ya da beyin tümörüyle ilişkilidir ama MR bunu doğrulamadı.] [TEXT=Kontrast madde veriyoruz, küçük de olsa anafilaktik reaksiyon riski var,"" bu da solunumun durmasına yol açabilir.]",True
3938,4,7,Taub,intent,uyarı,açıklama,0.02336777758229629,0.3260861304323983,0.302718352850102,Steroid bağışıklık sistemini zayıflatabilir.,[SPEAKER=Taub] [SYMPTOM=bağışıklık sistemi] [PREV=Hastada şişkin bir kist var. || Steroid tedavisi başlanmalı.] [TEXT=Steroid bağışıklık sistemini zayıflatabilir.],True
4587,5,22,House,intent,uyarı,hipotez,0.023624799791030056,0.5837494196849673,0.5601246198939372,"Chase sanırım striptizcinin vücut kremi yüzünden anafilaktik şoka girdi. Asistanların birinde adrenalin kalemi vardı,"" yani kurtuldu.","[SPEAKER=House] [SYMPTOM=anafilaksi] [DRUG=adrenalin] [PREV=Kan. Trombositemi olabilir. Fazla trombosit tüm vücutta pıhtılaşmaya neden olabilir. || Demek pıhtılaşma kanda başlamadı,"" akciğerlerde başladı. Pulmoner emboli.] [TEXT=Chase sanırım striptizcinin vücut kremi yüzünden anafilaktik şoka girdi. Asistanların birinde adrenalin kalemi vardı,"" yani kurtuldu.]",True
4047,4,9,Kutner,intent,test,tanı,0.02452570910700199,0.431161689985222,0.40663598087822,Işık ve ses ile nöbet tetiklenmeye çalışıldı.,[SPEAKER=Kutner] [SYMPTOM=nöbet indüksiyonu] [ORGAN=beyin] [PREV=Yutma hareketleri nörolojik olabilir. || Kompleks parsiyel nöbet düşünüldü.] [TEXT=Işık ve ses ile nöbet tetiklenmeye çalışıldı.],True
4278,5,16,House,intent,açıklama,şaka,0.0247775399981563,0.9146865760226517,0.8899090360244953,İyi bir doktor olmak için acıya ihtiyacım var. Mutlu House vaka çözemez.,[SPEAKER=House] [PREV=Vicodin beni ayakta tutuyor. Metadon beni insan yapıyor. Seçim zor. || Kravat takıyorsun. Tıraş olmuşsun. Bu senin metadon versiyonun mu?] [TEXT=İyi bir doktor olmak için acıya ihtiyacım var. Mutlu House vaka çözemez.],True
1833,2,22,Chase,intent,uyarı,tedavi,0.025255636801507737,0.3250420017228137,0.299786364921306,"Akciğeri çöktü, hava alamıyor,"" IV kateterine ihtiyacım var!","[SPEAKER=Chase] [SYMPTOM=Akciğer Çökmesi] [TEST=Röntgen] [DRUG=Prednizon] [PROCEDURE=İğne Torakostomisi] [ORGAN=akciğer] [PREV=Epilepsi ile açıklanamayan nöbet ve yükselmiş kalsiyum seviyeleri. || Fazla kalsiyum beyindeki kan damarlarının daralmasına neden olur.] [TEXT=Akciğeri çöktü, hava alamıyor,"" IV kateterine ihtiyacım var!]",True
4732,6,2,Doctor,intent,hipotez,uyarı,0.025814761276624867,0.236590782298374,0.21077602102174914,Kalp yetmezliği ihtimali var.,[SPEAKER=Doctor] [SYMPTOM=kalp yetmezliği] [TEST=-] [DRUG=-] [PROCEDURE=-] [ORGAN=kalp] [PREV=Kronik ağrım tekrar arttı. || Akciğerlerde sıvı birikimi var.] [TEXT=Kalp yetmezliği ihtimali var.],True
